query,price_min,price_max,price_currency,rating_min,rating_max,category,sort_type,sort_direction
round about 22 dollars,,22,USD,,,,price,asc
the crowd goes wild for these,,,,4.6,,rating,desc,
from 120 to 240,120.0,240,USD,,,,price,asc
reliably 5 star stuff,,,,5.0,,rating,desc,
within 58,,58,USD,,,,price,asc
magnetic reviews draw everyone in,,,,4.7,,rating,desc,
anywhere below 190,,190,USD,,,,price,asc
people feel lucky owning these,,,,4.8,,rating,desc,
pocket friendly around 16,,16,USD,,,,price,asc
consistently outstanding,,,,4.7,,rating,desc,
from 350 to 650,350.0,650,USD,,,,price,asc
not a bad review in sight,,,,4.8,,rating,desc,
max 33,,33,USD,,,,price,asc
top tier by every metric,,,,4.9,,rating,desc,
within 475,,475,USD,,,,price,asc
the praise never stops,,,,4.6,,rating,desc,
below 27,,27,USD,,,,price,asc
perfect review averages,,,,5.0,,rating,desc,
somewhere in the 200 to 300 bracket,200.0,300,USD,,,,price,asc
gift-worthy and loved,,,,4.7,,rating,desc,
capped at 62,,62,USD,,,,price,asc
practically flawless reputation,,,,4.8,,rating,desc,
in the 500 to 800 zone,500.0,800,USD,,,,price,asc
buyers call it life changing,,,,4.9,,rating,desc,
sub 21,,21,USD,,,,price,asc
unmatched customer love,,,,4.7,,rating,desc,
ceiling of 385,,385,USD,,,,price,asc
legendary customer reviews,,,,4.8,,rating,desc,
up to 17 dollars,,17,USD,,,,price,asc
five star club only,,,,5.0,,rating,desc,
anywhere from 75 to 150,75.0,150,USD,,,,price,asc
satisfaction that speaks for itself,,,,4.6,,rating,desc,
not crossing 240,,240,USD,,,,price,asc
buyers keep recommending to strangers,,,,4.7,,rating,desc,
capped at 7,,7,USD,,,,price,asc
holy grail of quality reviews,,,,4.9,,rating,desc,
between 180 and 360,180.0,360,USD,,,,price,asc
trusted more than anything else,,,,4.8,,rating,desc,
below 52,,52,USD,,,,price,asc
off the charts ratings,,,,4.7,,rating,desc,
right around 800,,800,USD,,,,price,asc
buyers never look elsewhere after this,,,,4.8,,rating,desc,
6 dollars or less,,6,USD,,,,price,asc
benchmarks of excellence,,,,4.9,,rating,desc,
up to 425,,425,USD,,,,price,asc
reviews that speak volumes,,,,4.6,,rating,desc,
below 36,,36,USD,,,,price,asc
undisputed fan favorites,,,,4.7,,rating,desc,
from 140 to 280,140.0,280,USD,,,,price,asc
bar raising quality,,,,4.8,,rating,desc,
max 19,,19,USD,,,,price,asc
near perfect feedback loop,,,,4.7,,rating,desc,
up to 330,,330,USD,,,,price,asc
standing ovation from users,,,,4.9,,rating,desc,
11 dollars maximum,,11,USD,,,,price,asc
sets the standard for reviews,,,,4.8,,rating,desc,
ranging from 60 to 120,60.0,120,USD,,,,price,asc
overwhelming positivity in reviews,,,,4.7,,rating,desc,
ceiling 280,,280,USD,,,,price,asc
stuff that converts skeptics,,,,4.6,,rating,desc,
below 47,,47,USD,,,,price,asc
reviews that border on religious,,,,4.9,,rating,desc,
from 400 to 750,400.0,750,USD,,,,price,asc
customers treat these like treasures,,,,4.8,,rating,desc,
9 bucks and below,,9,USD,,,,price,asc
ratings in another league,,,,4.7,,rating,desc,
capped at 215,,215,USD,,,,price,asc
review section is pure positivity,,,,4.8,,rating,desc,
up to 26,,26,USD,,,,price,asc
hard to find something this good,,,,4.9,,rating,desc,
between 270 and 520,270.0,520,USD,,,,price,asc
can do no wrong in buyers eyes,,,,4.7,,rating,desc,
ceiling 73,,73,USD,,,,price,asc
reviews glow brighter than most,,,,4.8,,rating,desc,
sub 43,,43,USD,,,,price,asc
practically perfect by consensus,,,,4.9,,rating,desc,
up to 560,,560,USD,,,,price,asc
buyers would buy it again without hesitation,,,,4.7,,rating,desc,
below 31,,31,USD,,,,price,asc
excellent scores across the board,,,,4.8,,rating,desc,
from 95 to 200,95.0,200,USD,,,,price,asc
nothing short of brilliant,,,,4.9,,rating,desc,
spending around 145,,145,USD,,,,price,asc
review sections full of love,,,,4.6,,rating,desc,
below 64,,64,USD,,,,price,asc
impeccable track record with buyers,,,,4.8,,rating,desc,
from 500 to 900,500.0,900,USD,,,,price,asc
blind trust in these,,,,4.7,,rating,desc,
max 37,,37,USD,,,,price,asc
excellence is the baseline,,,,4.9,,rating,desc,
up to 255,,255,USD,,,,price,asc
impossible not to recommend these,,,,4.8,,rating,desc,
4 dollars or under,,4,USD,,,,price,asc
ratings make you believe in products again,,,,4.7,,rating,desc,
from 320 to 580,320.0,580,USD,,,,price,asc
struck gold with this one,,,,4.8,,rating,desc,
below 88,,88,USD,,,,price,asc
nothing bad to say,,,,4.6,,rating,desc,
total budget 165,,165,USD,,,,price,asc
stellar in every regard,,,,4.9,,rating,desc,
cheap but not nasty around 24,,24,USD,4.0,,combined,price,asc
very well rated under 90,,90,USD,4.3,,combined,asc,
top picks from 100 to 250,100.0,250,USD,4.5,,combined,price,asc
beloved and affordable under 55,,55,USD,4.4,,combined,asc,
five star finds under 120,,120,USD,5.0,,combined,rating,desc
raved about and under 70,,70,USD,4.6,,combined,asc,
loved by buyers around 40 bucks,,40,USD,4.2,,combined,asc,
quality guaranteed under 200,,200,USD,4.5,,combined,asc,
above 4 stars and below 80,,80,USD,4.0,,combined,asc,
critics and buyers both love under 150,,150,USD,4.7,,combined,rating,desc
bargain with brilliant reviews under 35,,35,USD,4.3,,combined,asc,
highly praised under 500,,500,USD,4.6,,combined,rating,desc
exceptional and affordable under 60,,60,USD,4.5,,combined,asc,
near perfect and not pricey under 45,,45,USD,4.8,,combined,rating,desc
4 star minimum around 110,,110,USD,4.0,,combined,price,asc
stellar quality under 300,,300,USD,4.7,,combined,rating,desc
buyers obsessed and price under 85,,85,USD,4.6,,combined,asc,
highly endorsed and budget friendly under 30,,30,USD,4.3,,combined,asc,
review gold and price silver under 75,,75,USD,4.5,,combined,asc,
absolute crowd pleasers under 180,,180,USD,4.6,,combined,rating,desc
superb and surprisingly cheap under 25,,25,USD,4.4,,combined,asc,
well loved in the 60 to 130 bracket,60.0,130,USD,4.2,,combined,price,asc
fantastic reviews below 220,,220,USD,4.5,,combined,rating,desc
heart and wallet both satisfied under 95,,95,USD,4.4,,combined,asc,
all star reviews under 400,,400,USD,4.7,,combined,rating,desc
terrific scores under 50,,50,USD,4.3,,combined,asc,
review hall of fame under 350,,350,USD,4.8,,combined,rating,desc
affordable gem under 65 with high rating,,65,USD,4.5,,combined,asc,
five star reputation below 280,,280,USD,5.0,,combined,rating,desc
irresistible combo of quality and price under 145,,145,USD,4.6,,combined,asc,
rave reviews below 1000,,1000,USD,4.8,,combined,rating,desc
glowing and not expensive under 42,,42,USD,4.4,,combined,asc,
acclaimed and accessible under 160,,160,USD,4.5,,combined,rating,desc
loved by real people around 320,,320,USD,4.3,,combined,price,asc
honest reviews point to these under 78,,78,USD,4.2,,combined,asc,
standout quality below 230,,230,USD,4.6,,combined,rating,desc
bargain hunters love these under 32,,32,USD,4.0,,combined,asc,
critics call it must own under 750,,750,USD,4.7,,combined,rating,desc
review average never dips below 4 under 55,,55,USD,4.0,,combined,asc,
gifted over and over under 100,,100,USD,4.5,,combined,asc,
superb rating and kind price under 48,,48,USD,4.4,,combined,asc,
quality you can taste below 115,,115,USD,4.6,,combined,rating,desc
highly rated in the 200 to 450 range,200.0,450,USD,4.5,,combined,price,asc
unanimous top marks under 68,,68,USD,4.3,,combined,asc,
trusted completely and under 195,,195,USD,4.5,,combined,asc,
extraordinary feedback below 390,,390,USD,4.7,,combined,rating,desc
5 bucks and still well reviewed,,5,USD,4.0,,combined,asc,
respected by reviewers around 530,,530,USD,4.4,,combined,price,asc
everyone agrees it's excellent under 135,,135,USD,4.5,,combined,rating,desc
cheap at 29 and still excellent,,29,USD,4.3,,combined,asc,
beloved pick between 80 and 160,80.0,160,USD,4.4,,combined,price,asc
impossible to fault under 275,,275,USD,4.6,,combined,rating,desc
nothing but glowing reviews left under 44,,44,USD,4.3,,combined,asc,
legendary feedback below 650,,650,USD,4.8,,combined,rating,desc
inexpensive and adored under 21,,21,USD,4.2,,combined,asc,
stellar reviews in the 150 to 300 range,150.0,300,USD,4.5,,combined,price,asc
trusted by thousands under 105,,105,USD,4.4,,combined,asc,
practically perfect and not bank breaking under 87,,87,USD,4.7,,combined,rating,desc
tens across the board under 175,,175,USD,4.8,,combined,rating,desc
extremely well regarded around 460,,460,USD,4.5,,combined,price,asc
cheap enough at 15 and reviewed well,,15,USD,4.0,,combined,asc,
loudest fans for these under 310,,310,USD,4.6,,combined,rating,desc
flawless reputation below 58,,58,USD,4.5,,combined,asc,
most loved in 400 to 700 bracket,400.0,700,USD,4.7,,combined,price,asc
the gushing is justified under 36,,36,USD,4.2,,combined,asc,
trust is hard earned and these have it under 240,,240,USD,4.6,,combined,rating,desc
jaw dropping quality for the price under 82,,82,USD,4.5,,combined,asc,
devotees everywhere under 520,,520,USD,4.7,,combined,rating,desc
thrilled buyers under 27,,27,USD,4.1,,combined,asc,
near perfect record under 145,,145,USD,4.8,,combined,rating,desc
repeat purchase speaks volumes under 63,,63,USD,4.3,,combined,asc,
coveted and reasonably priced below 380,,380,USD,4.6,,combined,rating,desc
proud owners everywhere under 52,,52,USD,4.4,,combined,asc,
from all angles excellent below 290,,290,USD,4.7,,combined,rating,desc
delighted buyers everywhere under 170,,170,USD,4.5,,combined,asc,
feels like a luxury under 720,,720,USD,4.7,,combined,rating,desc
bargain tier but 4 stars solid under 33,,33,USD,4.0,,combined,asc,
clever pick under 430,,430,USD,4.6,,combined,rating,desc
frugal and fabulous under 19,,19,USD,4.2,,combined,asc,
detailed glowing reviews under 560,,560,USD,4.8,,combined,rating,desc
tiny price big ratings under 11,,11,USD,4.0,,combined,asc,
word spreads fast under 98,,98,USD,4.4,,combined,asc,
exceptional buy below 205,,205,USD,4.6,,combined,rating,desc
one is never enough under 72,,72,USD,4.3,,combined,asc,
everything points to excellence below 475,,475,USD,4.7,,combined,rating,desc
affordable winner under 57,,57,USD,4.4,,combined,asc,
blind trust earned under 330,,330,USD,4.5,,combined,rating,desc
penny wise but highly rated under 14,,14,USD,4.0,,combined,asc,
beloved at every price point below 640,,640,USD,4.7,,combined,rating,desc
worth twice the price under 83,,83,USD,4.5,,combined,asc,
universal approval below 265,,265,USD,4.6,,combined,rating,desc
great reviews for not much money under 26,,26,USD,4.1,,combined,asc,
competes with premium under 430,,430,USD,4.7,,combined,rating,desc
smart purchase under 47,,47,USD,4.3,,combined,asc,
jaw dropping value for 185,,185,USD,4.5,,combined,price,asc
overdelivers massively under 66,,66,USD,4.4,,combined,asc,
review gold mine below 315,,315,USD,4.6,,combined,rating,desc
hidden gem under 39,,39,USD,4.2,,combined,asc,
voted best purchase under 590,,590,USD,4.7,,combined,rating,desc
surprisingly stellar for the price under 23,,23,USD,4.0,,combined,asc,
feels like a jackpot under 155,,155,USD,4.5,,combined,rating,desc
crisp clean reviews under 77,,77,USD,4.3,,combined,asc,
price seems criminally low under 420,,420,USD,4.6,,combined,rating,desc
modest price extraordinary reviews under 61,,61,USD,4.4,,combined,asc,
quality that surprises everyone under 780,,780,USD,4.8,,combined,rating,desc
value king under 46,,46,USD,4.3,,combined,asc,
price seems unreal under 127,,127,USD,4.5,,combined,rating,desc
micro budget massive reviews under 8,,8,USD,4.0,,combined,asc,
repeat purchases say it all below 345,,345,USD,4.6,,combined,rating,desc
small spend big smiles under 53,,53,USD,4.2,,combined,asc,
the one everyone ends up choosing under 620,,620,USD,4.7,,combined,rating,desc
cheap does not mean bad here under 16,,16,USD,4.1,,combined,asc,
real satisfaction in the 90 to 180 range,90.0,180,USD,4.4,,combined,price,asc
fair price stellar rep below 235,,235,USD,4.5,,combined,rating,desc
every cent justified under 74,,74,USD,4.3,,combined,asc,
reviewers have zero complaints below 510,,510,USD,4.7,,combined,rating,desc
absolute value king under 31,,31,USD,4.0,,combined,asc,
obsession worthy below 155,,155,USD,4.6,,combined,rating,desc
decent wallet hit great score under 67,,67,USD,4.3,,combined,asc,
not giving this up for anything below 285,,285,USD,4.5,,combined,rating,desc
lightweight on price heavyweight in reviews under 41,,41,USD,4.2,,combined,asc,
fully deserves its rating below 830,,830,USD,4.8,,combined,rating,desc
solid reviews for a price you'd expect under 93,,93,USD,4.3,,combined,asc,
discovery feels like winning below 170,,170,USD,4.5,,combined,rating,desc
ridiculously good for the money under 22,,22,USD,4.1,,combined,asc,
genuine delight in the 300 to 500 range,300.0,500,USD,4.6,,combined,price,asc
unfair advantage under 115,,115,USD,4.4,,combined,rating,desc
low spend high love under 34,,34,USD,4.2,,combined,asc,
satisfaction radiates from reviews below 455,,455,USD,4.6,,combined,rating,desc
surprisingly good at 18,,18,USD,4.0,,combined,asc,
does exactly what it promises under 680,,680,USD,4.7,,combined,rating,desc
low cost high trust under 28,,28,USD,4.1,,combined,asc,
adored across the 130 to 260 range,130.0,260,USD,4.4,,combined,price,asc
reviews match reality perfectly below 340,,340,USD,4.6,,combined,rating,desc
just browsing,,,,,,,,
explore everything,,,,,,,,
show me all of it,,,,,,,,
no preference just browse,,,,,,,,
all products please,,,,,,,,
just looking around,,,,,,,,
pull up everything you have,,,,,,,,
everything in stock,,,,,,,,
let me see it all,,,,,,,,
no filters,,,,,,,,
cheapest first please,,,,,,price,asc,
most expensive at the top,,,,,,price,desc,
sort by rating highest first,,,,,,rating,desc,
lowest priced first,,,,,,price,asc,
best reviewed at the top,,,,,,rating,desc,
priciest first,,,,,,price,desc,
worst rated first,,,,,,rating,asc,
top scoring first,,,,,,rating,desc,
sort from cheap to expensive,,,,,,price,asc,
from most loved to least,,,,,,rating,desc,
highest price first,,,,,,price,desc,
lowest rating first,,,,,,rating,asc,
ascending price,,,,,,price,asc,
descending price,,,,,,price,desc,
highest rated on top,,,,,,rating,desc,
price going up,,,,,,price,asc,
price going down,,,,,,price,desc,
best first,,,,,,rating,desc,
cheapest at top,,,,,,price,asc,
sort worst to best,,,,,,rating,asc,
most affordable first,,,,,,price,asc,
premium first,,,,,,price,desc,
top rated first,,,,,,rating,desc,
by price low to high,,,,,,price,asc,
by rating high to low,,,,,,rating,desc,
organized by price ascending,,,,,,price,asc,
organized by rating descending,,,,,,rating,desc,
absolutely must stay under 60,,60,USD,,,,price,asc
only the 4.8 and above crowd,,,,4.8,,rating,desc,
rocking a 200 dollar budget,,200,USD,,,,price,asc
stellar ratings are a must,,,,4.7,,rating,desc,
can't justify more than 45,,45,USD,,,,price,asc
perfectly rated picks,,,,5.0,,rating,desc,
circa 80 bucks,,80,USD,,,,price,asc
obsessively loved by reviewers,,,,4.6,,rating,desc,
zero tolerance for over 30,,30,USD,,,,price,asc
makes you say wow on the score sheet,,,,4.9,,rating,desc,
hovering at 120,,120,USD,,,,price,asc
cream rises to the top here,,,,4.8,,rating,desc,
pretty tight at 25 today,,25,USD,,,,price,asc
the scores here are hard to ignore,,,,4.7,,rating,desc,
150 is my absolute ceiling,,150,USD,,,,price,asc
collectively adored products,,,,4.6,,rating,desc,
affordable range around 35,,35,USD,,,,price,asc
relentlessly well reviewed,,,,4.8,,rating,desc,
price point around 500,,500,USD,,,,price,asc
satisfaction is guaranteed here,,,,4.7,,rating,desc,
strapped for cash today under 15,,15,USD,,,,price,asc
masses have spoken highly,,,,4.6,,rating,desc,
roughly 300 to work with,,300,USD,,,,price,asc
excellence on every review page,,,,4.9,,rating,desc,
tight wallet friendly under 10,,10,USD,,,,price,asc
perpetually praised stuff,,,,4.7,,rating,desc,
sitting around 250 budget,,250,USD,,,,price,asc
feedback sections overflow with praise,,,,4.8,,rating,desc,
sub 50 is the target,,50,USD,,,,price,asc
trusted by the majority,,,,4.5,,rating,desc,
70 is my hard limit,,70,USD,,,,price,asc
scores are through the roof,,,,4.9,,rating,desc,
around 400 to play with,,400,USD,,,,price,asc
loved across all demographics,,,,4.7,,rating,desc,
90 dollar zone,,90,USD,,,,price,asc
fans are fiercely loyal to these,,,,4.6,,rating,desc,
locked in at 20,,20,USD,,,,price,asc
impossible ratings to dispute,,,,4.8,,rating,desc,
somewhere in the 600 territory,,600,USD,,,,price,asc
earned every single star,,,,4.7,,rating,desc,
keeping it at 40,,40,USD,,,,price,asc
reviewed into legend status,,,,5.0,,rating,desc,
cozying up to 175,,175,USD,,,,price,asc
people voted 4.5 and above,,,,4.5,,rating,desc,
barely over 5 bucks please,,5,USD,,,,price,asc
reviewers ran out of superlatives,,,,4.9,,rating,desc,
budget lands at 350,,350,USD,,,,price,asc
star ratings that set the bar,,,,4.8,,rating,desc,
65 dollar sweet spot,,65,USD,,,,price,asc
a near spotless review record,,,,4.7,,rating,desc,
in the 750 range,,750,USD,,,,price,asc
definition of crowd pleasing,,,,4.6,,rating,desc,
not a rupee over 55,,55,USD,,,,price,asc
rivals the best out there in ratings,,,,4.8,,rating,desc,
budget cap is 130,,130,USD,,,,price,asc
magnetic to positive reviewers,,,,4.7,,rating,desc,
8 dollar category,,8,USD,,,,price,asc
quality that converts skeptics,,,,4.6,,rating,desc,
comfortably at 450,,450,USD,,,,price,asc
five star consistency,,,,5.0,,rating,desc,
roughly 22 dollars,,22,USD,,,,price,asc
public has spoken with top marks,,,,4.7,,rating,desc,
400 to 650 feels right,400.0,650,USD,,,,price,asc
something people defend passionately,,,,4.8,,rating,desc,
under 18 is the mission,,18,USD,,,,price,asc
average score stays near perfect,,,,4.9,,rating,desc,
320 price point,,320,USD,,,,price,asc
adored without exception,,,,4.7,,rating,desc,
barely touching 12,,12,USD,,,,price,asc
impossible to fault based on reviews,,,,4.8,,rating,desc,
in the 200 ballpark,,200,USD,,,,price,asc
gold standard of ratings,,,,4.9,,rating,desc,
hard cap at 95,,95,USD,,,,price,asc
reviewers compete to praise these,,,,4.7,,rating,desc,
300 to 500 feels comfortable,300.0,500,USD,,,,price,asc
a review score that earns trust,,,,4.6,,rating,desc,
staying light at 28,,28,USD,,,,price,asc
ages like fine wine in the ratings,,,,4.8,,rating,desc,
480 budget,,480,USD,,,,price,asc
unanimously applauded,,,,4.7,,rating,desc,
somewhere just under 38,,38,USD,,,,price,asc
benchmark of user satisfaction,,,,4.9,,rating,desc,
160 to 280 bracket,160.0,280,USD,,,,price,asc
history with reviewers is spotless,,,,4.8,,rating,desc,
pretty low price around 7,,7,USD,,,,price,asc
community seal of approval,,,,4.6,,rating,desc,
around 550 budget,,550,USD,,,,price,asc
no complaints department,,,,4.7,,rating,desc,
33 dollar mark,,33,USD,,,,price,asc
legendary in the review space,,,,4.9,,rating,desc,
50 to 110 range,50.0,110,USD,,,,price,asc
track record is immaculate,,,,4.8,,rating,desc,
barely 16 bucks,,16,USD,,,,price,asc
reviews paint a perfect picture,,,,4.7,,rating,desc,
upper limit 260,,260,USD,,,,price,asc
crowd rarely agrees but they do here,,,,4.8,,rating,desc,
420 mark,,420,USD,,,,price,asc
review scores speak louder than ads,,,,4.6,,rating,desc,
cheap zone under 6,,6,USD,,,,price,asc
five star faithful,,,,5.0,,rating,desc,
somewhere between 90 and 180,90.0,180,USD,,,,price,asc
a review record you can trust,,,,4.7,,rating,desc,
43 dollar territory,,43,USD,,,,price,asc
never dips in rating territory,,,,4.8,,rating,desc,
comfy at 680,,680,USD,,,,price,asc
praised from every angle,,,,4.7,,rating,desc,
just below 27,,27,USD,,,,price,asc
the scores here humble the competition,,,,4.9,,rating,desc,
370 range,,370,USD,,,,price,asc
adored by the silent majority,,,,4.6,,rating,desc,
around 14 dollars,,14,USD,,,,price,asc
near flawless feedback,,,,4.8,,rating,desc,
125 to 230 zone,125.0,230,USD,,,,price,asc
ratings define excellence here,,,,4.7,,rating,desc,
52 price cap,,52,USD,,,,price,asc
feedback section reads like a fan club,,,,4.9,,rating,desc,
around 800,,800,USD,,,,price,asc
universally celebrated quality,,,,4.8,,rating,desc,
barely 24 dollars,,24,USD,,,,price,asc
inspires confidence through its ratings,,,,4.7,,rating,desc,
from 200 to 380,200.0,380,USD,,,,price,asc
the scores here make headlines,,,,4.8,,rating,desc,
77 cap,,77,USD,,,,price,asc
not a single unhappy reviewer,,,,4.6,,rating,desc,
around 950,,950,USD,,,,price,asc
rating is the only filter needed,,,,4.8,,rating,desc,
31 dollar range,,31,USD,,,,price,asc
magic in the reviews happens here,,,,4.9,,rating,desc,
300 to 580 feels right,300.0,580,USD,,,,price,asc
highest praise consistently,,,,4.7,,rating,desc,
19 dollar zone,,19,USD,,,,price,asc
buyers left speechless by quality,,,,4.8,,rating,desc,
upper end at 240,,240,USD,,,,price,asc
credibility in reviews is undeniable,,,,4.7,,rating,desc,
4 dollar category,,4,USD,,,,price,asc
redefines the category through ratings,,,,4.9,,rating,desc,
540 budget,,540,USD,,,,price,asc
a legacy of positive reviews,,,,4.8,,rating,desc,
barely 37 dollars,,37,USD,,,,price,asc
review after review says the same thing,,,,4.7,,rating,desc,
80 to 160 range,80.0,160,USD,,,,price,asc
these speak for themselves in reviews,,,,4.6,,rating,desc,
63 ceiling,,63,USD,,,,price,asc
outlasts trends through consistent ratings,,,,4.8,,rating,desc,
around 730,,730,USD,,,,price,asc
praise is the universal currency here,,,,4.7,,rating,desc,
47 price zone,,47,USD,,,,price,asc
consistency of reviews is remarkable,,,,4.9,,rating,desc,
from 140 to 260,140.0,260,USD,,,,price,asc
no bad eggs in the review batch,,,,4.7,,rating,desc,
barely touching 9,,9,USD,,,,price,asc
five star territory,,,,5.0,,rating,desc,
at 290 or under,,290,USD,,,,price,asc
most dependable scores,,,,4.8,,rating,desc,
58 mark,,58,USD,,,,price,asc
scores that transcend price,,,,4.7,,rating,desc,
from 450 to 780,450.0,780,USD,,,,price,asc
the feedback section is unanimously positive,,,,4.8,,rating,desc,
3 dollar grab,,3,USD,,,,price,asc
earns lifetime loyalty through ratings,,,,4.9,,rating,desc,
budget parked at 165,,165,USD,,,,price,asc
the scores here are hard to fake,,,,4.7,,rating,desc,
around 41 dollars,,41,USD,,,,price,asc
endlessly high marks,,,,4.8,,rating,desc,
from 70 to 150,70.0,150,USD,,,,price,asc
strong enough to recommend blindly,,,,4.6,,rating,desc,
84 price point,,84,USD,,,,price,asc
hall of fame in reviews material,,,,4.9,,rating,desc,
budget is 620,,620,USD,,,,price,asc
praised relentlessly and rightfully,,,,4.8,,rating,desc,
26 dollar limit,,26,USD,,,,price,asc
justifies every penny through ratings,,,,4.7,,rating,desc,
around 195 to 340,195.0,340,USD,,,,price,asc
praise so consistent it becomes boring,,,,4.6,,rating,desc,
barely 53 bucks,,53,USD,,,,price,asc
feedback sections that restore faith,,,,4.8,,rating,desc,
around 870,,870,USD,,,,price,asc
top of the charts in every review site,,,,4.9,,rating,desc,
34 dollar territory,,34,USD,,,,price,asc
ages well in user ratings,,,,4.7,,rating,desc,
100 to 200 comfortable range,100.0,200,USD,,,,price,asc
culture of praise loves these,,,,4.8,,rating,desc,
sub 11 bucks,,11,USD,,,,price,asc
mythological scores by any measure,,,,4.9,,rating,desc,
390 budget,,390,USD,,,,price,asc
every reviewer seems to agree,,,,4.7,,rating,desc,
68 ceiling,,68,USD,,,,price,asc
review scores you'd show your parents,,,,4.8,,rating,desc,
from 250 to 430,250.0,430,USD,,,,price,asc
a clean sweep of good reviews,,,,4.6,,rating,desc,
17 dollar maximum,,17,USD,,,,price,asc
builds a fanbase through ratings,,,,4.7,,rating,desc,
around 570,,570,USD,,,,price,asc
track record in reviews so clean it shines,,,,4.8,,rating,desc,
46 price cap,,46,USD,,,,price,asc
rave reviews only,,,,4.9,,rating,desc,
150 to 320 comfortable,150.0,320,USD,,,,price,asc
quality that reviews are made of,,,,4.7,,rating,desc,
barely 21 dollars,,21,USD,,,,price,asc
a mountain of five star reviews,,,,5.0,,rating,desc,
around 440,,440,USD,,,,price,asc
review scores people screenshot,,,,4.8,,rating,desc,
72 price zone,,72,USD,,,,price,asc
carries real weight in ratings,,,,4.7,,rating,desc,
from 370 to 650,370.0,650,USD,,,,price,asc
reputation with reviewers beyond reproach,,,,4.8,,rating,desc,
13 dollar sweet spot,,13,USD,,,,price,asc
speaks to real quality through ratings,,,,4.6,,rating,desc,
at 285 or under,,285,USD,,,,price,asc
the scores here are genuinely deserved,,,,4.7,,rating,desc,
59 budget,,59,USD,,,,price,asc
stratospheric scores,,,,4.9,,rating,desc,
from 90 to 200,90.0,200,USD,,,,price,asc
trustworthiness in reviews at its peak,,,,4.8,,rating,desc,
barely 32 dollars,,32,USD,,,,price,asc
sets impossible standards in ratings,,,,4.7,,rating,desc,
around 510,,510,USD,,,,price,asc
a review profile that inspires trust,,,,4.8,,rating,desc,
86 price point,,86,USD,,,,price,asc
attracts devoted fans through ratings,,,,4.9,,rating,desc,
from 175 to 310,175.0,310,USD,,,,price,asc
goodness reviewers see that never fades,,,,4.7,,rating,desc,
barely 48 dollars,,48,USD,,,,price,asc
highest possible praise,,,,5.0,,rating,desc,
around 660,,660,USD,,,,price,asc
the scores here convert browsers,,,,4.8,,rating,desc,
23 dollar zone,,23,USD,,,,price,asc
rewards loyalty with consistent quality,,,,4.6,,rating,desc,
from 430 to 700,430.0,700,USD,,,,price,asc
review purity at its finest,,,,4.7,,rating,desc,
61 cap,,61,USD,,,,price,asc
scores people share everywhere,,,,4.8,,rating,desc,
around 310,,310,USD,,,,price,asc
review scores without a single asterisk,,,,4.9,,rating,desc,
barely 16 bucks,,16,USD,,,,price,asc
rave after rave after rave,,,,4.7,,rating,desc,
from 220 to 400,220.0,400,USD,,,,price,asc
scores here outlast marketing,,,,4.8,,rating,desc,
74 ceiling,,74,USD,,,,price,asc
sells itself through ratings,,,,4.7,,rating,desc,
around 840,,840,USD,,,,price,asc
stardom earned through reviews fully earned,,,,4.9,,rating,desc,
29 dollar mark,,29,USD,,,,price,asc
rare air in the ratings,,,,4.8,,rating,desc,
from 55 to 130,55.0,130,USD,,,,price,asc
the scores here outlive hype,,,,4.7,,rating,desc,
barely touching 44,,44,USD,,,,price,asc
a review legacy worth trusting,,,,4.6,,rating,desc,
around 590,,590,USD,,,,price,asc
five star club members only,,,,5.0,,rating,desc,
82 budget,,82,USD,,,,price,asc
survives scrutiny in every rating,,,,4.8,,rating,desc,
from 340 to 560,340.0,560,USD,,,,price,asc
review scores worth writing home about,,,,4.7,,rating,desc,
36 price point,,36,USD,,,,price,asc
keeps giving in user ratings,,,,4.9,,rating,desc,
around 145,,145,USD,,,,price,asc
army of reviewers is huge and happy,,,,4.8,,rating,desc,
57 cap,,57,USD,,,,price,asc
humbles competitors through ratings,,,,4.7,,rating,desc,
from 480 to 750,480.0,750,USD,,,,price,asc
culture of praise elevates these,,,,4.8,,rating,desc,
barely 8 bucks,,8,USD,,,,price,asc
beyond ordinary in user ratings,,,,4.9,,rating,desc,
at 230 or under,,230,USD,,,,price,asc
review scores you can bet on,,,,4.7,,rating,desc,
66 ceiling,,66,USD,,,,price,asc
defines a generation through ratings,,,,4.8,,rating,desc,
from 110 to 220,110.0,220,USD,,,,price,asc
positivity in reviews is overwhelming,,,,4.7,,rating,desc,
barely 39 dollars,,39,USD,,,,price,asc
scores are off the scale,,,,4.9,,rating,desc,
around 460,,460,USD,,,,price,asc
review scores people tattoo on their hearts,,,,4.8,,rating,desc,
93 price zone,,93,USD,,,,price,asc
makes news in the ratings world,,,,4.7,,rating,desc,
from 270 to 490,270.0,490,USD,,,,price,asc
confidence from reviewers is total,,,,4.8,,rating,desc,
barely 42 dollars,,42,USD,,,,price,asc
trophy-worthy scores,,,,4.9,,rating,desc,
around 710,,710,USD,,,,price,asc
the scores here define the category,,,,4.7,,rating,desc,
54 price limit,,54,USD,,,,price,asc
never plateaus in user ratings,,,,4.8,,rating,desc,
from 160 to 290,160.0,290,USD,,,,price,asc
track record in reviews untouched by negativity,,,,4.6,,rating,desc,
11 dollar zone,,11,USD,,,,price,asc
legendary in the eyes of reviewers,,,,4.9,,rating,desc,
around 390,,390,USD,,,,price,asc
